id,caminho,nome_arquivo,categoria,pagina_principal,secao_principal,paginas_secundarias,funcao_visual,prioridade,reutilizacao,qualidade,orientacao,alt_text,legenda,titulo_editorial,proporcao_recomendada,largura_recomendada,object_position,comportamento_mobile,status,observacoes
050,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-01.webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-01.webp,08_VEICULOS_ESPECIAIS,transporte de veiculos especiais,Cards de servicos,homepage; servicos,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; transporte de veiculos especiais: card; transporte de veiculos especiais: prova; limitar usos para evitar repeticao,media,quadrada,Carrinhos/buggies eletricos transportados em plataforma da Marcus Reboque,Transporte de veiculo especial em plataforma.,Carrinhos/buggies eletricos transportados em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,marca/letreiro de terceiro ao fundo
052,IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-caminhonete-danificada-fortaleza-ce-01.webp,marcus-reboque-atendimento-real-caminhonete-danificada-fortaleza-ce-01.webp,20_ATENDIMENTOS_REAIS,atendimento emergencial na homepage,Secao operacional da homepage,homepage; auto socorro 24 horas; transporte emergencial,prova operacional,P2,reutilizacao controlada: homepage: Atendimento emergencial; auto socorro 24 horas: secundaria; transporte emergencial: card; limitar usos para evitar repeticao,media,horizontal,SUV danificado sobre caminhao plataforma da Marcus Reboque,Registro operacional de atendimento real; usar com linguagem cuidadosa.,SUV escuro danificado transportado em plataforma,16:9 ou 4:3,800 px,center,mesmo arquivo funciona,publicavel_com_cautela,veiculo avariado; usar com cautela
054,IMAGENS_MARCUS_REBOQUE/09_ATENDIMENTO_NOTURNO/marcus-reboque-atendimento-noturno-fortaleza-ce-01.webp,marcus-reboque-atendimento-noturno-fortaleza-ce-01.webp,19_ATENDIMENTO_NOTURNO,auto socorro 24 horas,Imagem principal da pagina,homepage,imagem principal de pagina,P1,reutilizacao controlada: homepage: Tipos de atendimento; auto socorro 24 horas: imagem principal; auto socorro 24 horas: Open Graph; limitar usos para evitar repeticao,media,quadrada,Funcionario da Marcus Reboque junto ao caminhao plataforma em atendimento noturno,Atendimento em luz baixa para reforcar disponibilidade 24h.,Funcionario Marcus Reboque junto ao caminhao em,16:9 ou 4:3 controlado,1200 px,center bottom,mesmo arquivo funciona,publicavel,inclui equipe e caminhao; boa atmosfera para servico 24h
055,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-12.webp,marcus-reboque-guincho-carro-fortaleza-ce-12.webp,04_CARROS,transporte programado,Secao operacional da homepage,homepage,imagem secundaria,P2,reutilizacao controlada: homepage: Tipos de atendimento; transporte programado: card,media,horizontal,Carro branco sobre caminhao plataforma em oficina/area coberta da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Carro branco sobre plataforma em oficina/area coberta,16:9 ou 4:3,800 px,center,mesmo arquivo funciona,publicavel,luz interna e enquadramento fechado
057,IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,15_CAMINHOES_E_PLATAFORMAS,sobre a Marcus Reboque,Secao operacional da homepage,homepage,imagem secundaria,P2,reutilizacao controlada: homepage: CTA final; homepage: secundaria; sobre a Marcus Reboque: prova; limitar usos para evitar repeticao,media,quadrada,Caminhao plataforma Marcus Reboque em frente a centro automotivo,,Caminhao plataforma Marcus Reboque em frente a,1:1,800 px,right center,mesmo arquivo funciona,publicavel,placas e letreiro de terceiro visiveis; usar com cautela; usar com cautela por marcas/dados de terceiros
058,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-13.webp,marcus-reboque-guincho-carro-fortaleza-ce-13.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para carros: galeria,media,quadrada,Sedan vermelho sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Sedan vermelho sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,possivel mesma sequencia de atendimento do sedan vermelho
059,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-02.webp,marcus-reboque-transporte-barco-fortaleza-ce-02.webp,09_BARCOS_E_JET_SKIS,transporte de barcos e jet skis,Imagem principal da pagina,homepage,imagem principal de pagina,P1,reutilizacao controlada: homepage: Galeria de atendimentos; transporte de barcos e jet skis: imagem principal; transporte de barcos e jet skis: Open Graph; limitar usos para evitar repeticao,media,quadrada,Barco colorido transportado em caminhao plataforma da Marcus Reboque,Barco transportado com apoio de caminhao plataforma.,Barco colorido transportado em plataforma,16:9 ou 4:3 controlado,1200 px,center,mesmo arquivo funciona,publicavel,barco bem visivel
060,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-04.webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-04.webp,10_MAQUINAS_AGRICOLAS,transporte de maquinas agricolas,Cards de servicos,homepage,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; transporte de maquinas agricolas: card; transporte de maquinas agricolas: prova,media,quadrada,Trator antigo transportado em caminhao plataforma da Marcus Reboque,Maquina transportada em plataforma.,Trator antigo transportado em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,trator claramente identificavel
061,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-07.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-07.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: prova,media,quadrada,Picape prata subindo em plataforma inclinada da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape prata subindo em plataforma inclinada,1:1,800 px,left center,mesmo arquivo funciona,publicavel,placa borrada/oculta; enquadramento fechado
063,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-08.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-08.webp,05_CAMINHONETES,guincho para caminhonetes,Reserva visual,nenhuma,galeria,P4,reserva sem reutilizacao prevista,baixa,quadrada,"SUV branco em plataforma, recorte lateral da Marcus Reboque",Veiculo transportado em caminhao plataforma da Marcus Reboque.,"SUV branco em plataforma, recorte lateral",1:1,800 px,center,mesmo arquivo funciona,reserva_publicavel,veiculo cortado pelo enquadramento
064,IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-03.webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-03.webp,02_HERO,homepage,Hero com scroll motion,nenhuma,hero principal,P1,exclusiva,alta,horizontal,Picape cinza transportada em caminhao plataforma da Marcus Reboque,,Picape cinza sobre plataforma em rua,16:9 desktop; 4:5 mobile derivada,1600-1920 px futura derivada,center,exige versao mobile,publicavel,"horizontal, veiculo grande e caminhao bem enquadrados"
065,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp,10_MAQUINAS_AGRICOLAS,transporte de maquinas agricolas,Imagem principal da pagina,homepage,imagem principal de pagina,P1,reutilizacao controlada: homepage: Galeria de atendimentos; transporte de maquinas agricolas: imagem principal; transporte de maquinas agricolas: Open Graph; limitar usos para evitar repeticao,alta,quadrada,Trator vermelho sobre caminhao plataforma da Marcus Reboque,Maquina transportada em plataforma.,Trator vermelho sobre caminhao plataforma,16:9 ou 4:3 controlado,1200 px,center,mesmo arquivo funciona,publicavel,"bom registro, mas quadrado; hash similar a #073 por composicao"
068,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-10.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-10.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: galeria,media,quadrada,Picape prata sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape prata sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,boa visualizacao do veiculo
070,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-02.webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-02.webp,08_VEICULOS_ESPECIAIS,transporte de veiculos especiais,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: transporte de veiculos especiais: secundaria,media,quadrada,Veiculo off-road/UTV sobre caminhao plataforma da Marcus Reboque,Transporte de veiculo especial em plataforma.,Veiculo off-road/UTV sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,veiculo especial bem identificado
071,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-03.webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-03.webp,11_VEICULOS_ANTIGOS,transporte de veiculos antigos,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: transporte de veiculos antigos: secundaria,media,quadrada,Utilitario antigo verde sobre caminhao plataforma da Marcus Reboque,Transporte de veiculo antigo em plataforma.,Utilitario antigo verde sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,veiculo antigo bem caracterizado
072,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-11.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-11.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: galeria,media,quadrada,Picape branca sobre caminhao plataforma em area urbana da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape branca sobre plataforma em area urbana,1:1,800 px,center,mesmo arquivo funciona,publicavel,boa foto de servico
073,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-12.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-12.webp,05_CAMINHONETES,areas atendidas,Secao operacional da homepage,homepage,imagem secundaria,P2,reutilizacao controlada: homepage: Areas atendidas; areas atendidas: imagem principal; areas atendidas: Open Graph,alta,quadrada,SUV cinza transportado em caminhao plataforma com area urbana ao fundo,Veiculo transportado em caminhao plataforma da Marcus Reboque.,SUV/crossover cinza sobre caminhao plataforma em via,1:1,800 px,center,mesmo arquivo funciona,publicavel,boa composicao com cidade ao fundo; hash similar a #065 por composicao
075,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-13.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-13.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: galeria,media,quadrada,Picape preta sobre caminhao plataforma em area comercial da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape preta sobre plataforma em area comercial,1:1,800 px,center,mesmo arquivo funciona,publicavel,boa identificacao do servico
076,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-03.webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-03.webp,08_VEICULOS_ESPECIAIS,transporte de veiculos especiais,Imagem principal da pagina,nenhuma,imagem principal de pagina,P1,reutilizacao controlada: transporte de veiculos especiais: imagem principal; transporte de veiculos especiais: Open Graph,media,quadrada,Buggy amarelo sobre caminhao plataforma da Marcus Reboque,Transporte de veiculo especial em plataforma.,Buggy amarelo sobre plataforma,16:9 ou 4:3 controlado,1200 px,center,mesmo arquivo funciona,publicavel,veiculo especial bem visivel
077,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-14.webp,marcus-reboque-guincho-carro-fortaleza-ce-14.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para carros: galeria,media,quadrada,Monovolume/carro compacto prata sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Monovolume/carro compacto prata sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,boa presenca do caminhao
078,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-15.webp,marcus-reboque-guincho-carro-fortaleza-ce-15.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reserva sem reutilizacao prevista,media,quadrada,Hatch branco transportado em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Hatch branco transportado em plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,"servico claro, imagem quadrada"
079,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-14.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-14.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P2,reutilizacao controlada: guincho para caminhonetes: secundaria,alta,quadrada,SUV branco sendo carregado na plataforma em area urbana da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,SUV branco sendo carregado na plataforma em,1:1,800 px,center,mesmo arquivo funciona,publicavel,bom momento de embarque
080,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-15.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-15.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reserva sem reutilizacao prevista,media,quadrada,Picape vermelha sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape vermelha sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,imagem clara do veiculo
081,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp,11_VEICULOS_ANTIGOS,transporte de veiculos antigos,Imagem principal da pagina,homepage,imagem principal de pagina,P1,reutilizacao controlada: homepage: Galeria de atendimentos; transporte de veiculos antigos: imagem principal; transporte de veiculos antigos: Open Graph; limitar usos para evitar repeticao,alta,quadrada,Perua/station wagon antiga amarela sobre caminhao plataforma da Marcus Reboque,Transporte de veiculo antigo em plataforma.,Perua/station wagon antiga amarela sobre plataforma,16:9 ou 4:3 controlado,1200 px,center,mesmo arquivo funciona,publicavel,veiculo antigo bem destacado
082,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-16.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-16.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reserva sem reutilizacao prevista,media,quadrada,Picape branca sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape branca sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,"imagem clara, fundo urbano"
083,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-16.webp,marcus-reboque-guincho-carro-fortaleza-ce-16.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para carros: galeria,media,quadrada,Hatch compacto prata sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Hatch compacto prata sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,imagem clara do servico
